[2026-07-01T19:28:00+0000] [ALPM] installed sdl-ttf (2.0.11-10)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl2-gfx (1.0.4-6)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl2-image (2.8.12-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl2-mixer (2.8.2-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl2-net (2.2.0-8)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl2-ttf (2.24.0-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl3 (3.4.10-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl3-gfx (r21.0bbee98-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl3-image (3.4.4-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl3-mixer (3.2.4-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sdl3-ttf (3.2.2-5)
[2026-07-01T19:28:00+0000] [ALPM] installed smath (1.0.0-2)
[2026-07-01T19:28:00+0000] [ALPM] installed smpeg (0.4.5-7)
[2026-07-01T19:28:00+0000] [ALPM] installed spdlog (1.17.0-2)
[2026-07-01T19:28:00+0000] [ALPM] installed sqlite (3.7.4-8)
[2026-07-01T19:28:00+0000] [ALPM] installed squirrel (3.1.0-7)
[2026-07-01T19:28:00+0000] [ALPM] installed stb (20241015git-5)
[2026-07-01T19:28:00+0000] [ALPM] installed theora (1.2.0git-6)
[2026-07-01T19:28:00+0000] [ALPM] installed tinygettext (20240715-6)
[2026-07-01T19:28:00+0000] [ALPM] installed tinyxml2 (11.0.0-1)
[2026-07-01T19:28:00+0000] [ALPM] installed tremor (1.2.1git-6)
[2026-07-01T19:28:00+0000] [ALPM] installed unarr (1.1.1-4)
[2026-07-01T19:28:00+0000] [ALPM] installed unrar (5.90.0-3)
[2026-07-01T19:28:00+0000] [ALPM] installed wolfssl (5.7.0-6)
[2026-07-01T19:28:00+0000] [ALPM] installed xxhash (0.8.2-4)
[2026-07-01T19:28:00+0000] [ALPM] installed ya2d (20260513-3)
[2026-07-01T19:28:00+0000] [ALPM] installed yaml-cpp (0.8.0git-6)
[2026-07-01T19:28:00+0000] [ALPM] installed zziplib (0.13.76-8)
[2026-07-01T19:28:00+0000] [ALPM] transaction completed
